pmid,pmcid,title,journal,insert_time
10732753,PMC2374386,Mutation analysis of P73 and TP53 in Merkel cell carcinoma.,Br J Cancer,2023-12-17-22-14-37
14760386,PMC2409610,Lymphatic density and metastatic spread in human malignant melanoma.,Br J Cancer,2023-12-17-22-14-37
15550173,PMC535548,Merkel cell carcinoma in a malignant pleural effusion: case report.,Cytojournal,2023-12-17-22-14-37
15651777,PMC2475456,Merkel cell carcinoma of the breast: report of a case and review of the literature.,Ulster Med J,2023-12-17-22-14-37
16111484,PMC1208865,A case report of Merkel cell carcinoma on chronic lymphocytic leukemia: differential diagnosis of coexisting lymphadenopathy and indications for early aggressive treatment.,BMC Cancer,2023-12-17-22-14-37
16137328,PMC1208966,Pancreatic metastasis of Merkel cell carcinoma and concomitant insulinoma: case report and literature review.,World J Surg Oncol,2023-12-17-22-14-37
16466578,PMC1382229,Merkel cell carcinoma.,World J Surg Oncol,2023-12-17-22-14-37
17257417,PMC1794244,Value of histopathologic analysis of subcutis excisions by general practitioners.,BMC Fam Pract,2023-12-17-22-14-37
17476831,PMC2001139,Merkel cell carcinoma of the cheek: diagnosis in an elderly woman.,Ulster Med J,2023-12-17-22-14-37
17949500,PMC2117014,Neuroendocrine (Merkel cell) carcinoma of the retroperitoneum with no identifiable primary site.,World J Surg Oncol,2023-12-17-22-14-37
17958888,PMC2140056,RKIP does not contribute to MAP kinase pathway silencing in the Merkel Cell Carcinoma cell line UISO.,J Carcinog,2023-12-17-22-14-37
18328106,PMC2279132,Merkel cell carcinoma of the upper extremity: case report and an update.,World J Surg Oncol,2023-12-17-22-14-37
18598371,PMC2481414,Does a new polyomavirus contribute to Merkel cell carcinoma?,Genome Biol,2023-12-17-22-14-37
18760031,PMC2603124,"Merkel cell polyomavirus and Merkel cell carcinoma, France.",Emerg Infect Dis,2023-12-17-22-14-37
19239773,PMC2681127,Merkel cell polyomavirus in respiratory tract secretions.,Emerg Infect Dis,2023-12-17-22-14-37
19239774,PMC2681122,Merkel cell polyomavirus DNA in respiratory specimens from children and adults.,Emerg Infect Dis,2023-12-17-22-14-37
19243219,PMC2652388,Atonal homolog 1 is a tumor suppressor gene.,PLoS Biol,2023-12-17-22-14-37
19305499,PMC2654729,Ultrastructural proof of polyomavirus in Merkel cell carcinoma tumour cells and its absence in small cell carcinoma of the lung.,PLoS One,2023-12-17-22-14-37
19464943,PMC7172143,Merkel cell polyomavirus DNA in tumor-free tonsillar tissues and upper respiratory tract samples: implications for respiratory transmission and latency.,J Clin Virol,2023-12-17-22-14-37
19523303,PMC2727338,Merkel cell polyomavirus strains in patients with merkel cell carcinoma.,Emerg Infect Dis,2023-12-17-22-14-37
19750217,PMC2734180,Quantitation of human seroresponsiveness to Merkel cell polyomavirus.,PLoS Pathog,2023-12-17-22-14-37
19755994,PMC2768432,Chronic lymphocytic leukaemia patients have a high risk of Merkel-cell polyomavirus DNA-positive Merkel-cell carcinoma.,Br J Cancer,2023-12-17-22-14-37
19776382,PMC2773184,Association of Merkel cell polyomavirus-specific antibodies with Merkel cell carcinoma.,J Natl Cancer Inst,2023-12-17-22-14-37
19788824,PMC2819892,Merkel cell polyomavirus DNA in persons without merkel cell carcinoma.,Emerg Infect Dis,2023-12-17-22-14-37
19830161,PMC2726515,Spontaneous regression of Merkel cell carcinoma in a patient with chronic lymphocytic leukemia: a case report.,J Med Case Rep,2023-12-17-22-14-37
19830210,PMC2726535,Merkel cell carcinoma metastasis and dermatofibrosarcoma protuberans presenting as a collision tumour: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-14-37
20181112,PMC2838912,Ileocaecal recurrence of Merkel cell carcinoma of the skin: a case report.,J Med Case Rep,2023-12-17-22-14-37
20300432,PMC2840409,An unusual clinical presentation of merkel cell carcinoma: a case report.,Case Rep Med,2023-12-17-22-14-37
20350388,PMC3321950,Merkel cell polyomavirus in cutaneous swabs.,Emerg Infect Dis,2023-12-17-22-14-37
20551958,PMC2894998,Skin cancers associated with autoimmune conditions among elderly adults.,Br J Cancer,2023-12-17-22-14-37
20625394,PMC2896396,Merkel cell polyomavirus small T antigen mRNA level is increased following in vivo UV-radiation.,PLoS One,2023-12-17-22-14-37
20668913,PMC3041920,Clinical emergence of neurometastatic merkel cell carcinoma: a surgical case series and literature review.,J Neurooncol,2023-12-17-22-14-37
20696637,PMC3351997,Primary merkel cell carcinoma clinically presenting as deep oedematous mass of the groin.,Eur J Med Res,2023-12-17-22-14-37
20860804,PMC2955715,"Newly discovered KI, WU, and Merkel cell polyomaviruses: no evidence of mother-to-fetus transmission.",Virol J,2023-12-17-22-14-37
20865165,PMC2928786,Distinct merkel cell polyomavirus molecular features in tumour and non tumour specimens from patients with merkel cell carcinoma.,PLoS Pathog,2023-12-17-22-14-37
21081931,PMC3039797,Risk of second cancers after the diagnosis of Merkel cell carcinoma in Scandinavia.,Br J Cancer,2023-12-17-22-14-37
21139953,PMC2994488,Basal cell carcinoma with progression to metastatic neuroendocrine carcinoma.,Rare Tumors,2023-12-17-22-14-37
21151529,PMC2990020,Focus Issue on Squamous Cell Carcinoma: Practical Concerns Regarding the 7th Edition AJCC Staging Guidelines.,J Skin Cancer,2023-12-17-22-14-37
21269448,PMC3037324,Extensive central nervous system involvement in Merkel cell carcinoma: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-14-37
21385344,PMC3059286,Merkel cell polyomavirus in Merkel cell carcinoma of Italian patients.,Virol J,2023-12-17-22-14-37
21436884,PMC3059210,"Infrequent detection of KI, WU and MC polyomaviruses in immunosuppressed individuals with or without progressive multifocal leukoencephalopathy.",PLoS One,2023-12-17-22-14-37
21464875,PMC3070447,Merkel cell carcinoma metastatic to the small bowel mesentery.,Rare Tumors,2023-12-17-22-14-37
21609425,PMC3118133,Giant Merkel cell carcinoma of the eyelid: a case report and review of the literature.,World J Surg Oncol,2023-12-17-22-14-37
21614514,PMC3256321,Positive correlation between Merkel cell polyomavirus viral load and capsid-specific antibody titer.,Med Microbiol Immunol,2023-12-17-22-14-37
21629810,PMC3099217,Vulvar merkel carcinoma: a case report.,Case Rep Med,2023-12-17-22-14-37
21660273,PMC3108450,A Review of Carcinomas Arising in the Head and Neck Region in HIV-Positive Patients.,Patholog Res Int,2023-12-17-22-14-37
21697888,PMC3174286,Huntingtin-interacting protein 1: a Merkel cell carcinoma marker that interacts with c-Kit.,J Invest Dermatol,2023-12-17-22-14-37
21729255,PMC3146448,Sarcoid reaction associated with Merkel cell carcinoma revealed by fluorodeoxyglucose positron emission tomography: a case report.,J Med Case Rep,2023-12-17-22-14-37
21769322,PMC3132127,Merkel cell carcinoma of skin-current controversies and recommendations.,Rare Tumors,2023-12-17-22-14-37
21799863,PMC3142164,Cellular and viral factors regulating Merkel cell polyomavirus replication.,PLoS One,2023-12-17-22-14-37
21801611,PMC3381546,Human polyomavirus related to African green monkey lymphotropic polyomavirus.,Emerg Infect Dis,2023-12-17-22-14-37
21829355,PMC3145800,Glycosaminoglycans and sialylated glycans sequentially facilitate Merkel cell polyomavirus infectious entry.,PLoS Pathog,2023-12-17-22-14-37
21858506,PMC3193515,Merkel cell carcinoma: a population-based study on mortality and the association with other cancers.,Cancer Causes Control,2023-12-17-22-14-37
21892294,PMC3161663,A comparison of merkel cell carcinoma and melanoma: results from the california cancer registry.,Clin Med Oncol,2023-12-17-22-14-37
22012057,PMC3180159,A review of the epidemiology and treatment of Merkel cell carcinoma.,Clinics (Sao Paulo),2023-12-17-22-14-37
22028564,PMC3199414,CK20 Positive Large-cell Neuroendocrine Carcinoma Presenting with Skin Metastases.,Ann Dermatol,2023-12-17-22-14-37
22066041,PMC3208421,"Merkel cell carcinoma in a 17-year-old boy, report of a highly aggressive fatal case and review of the literature.",Rare Tumors,2023-12-17-22-14-37
22073365,PMC3167334,Merkel cell carcinoma with an unusual immunohistochemical profile.,Eur J Histochem,2023-12-17-22-14-37
22110433,PMC3219452,Metachronous merkel cell carcinoma: a case report.,Case Rep Dermatol,2023-12-17-22-14-37
22143714,PMC3475642,Upper lip malignant neoplasms. A study of 59 cases.,Med Oral Patol Oral Cir Bucal,2023-12-17-22-14-37
22216177,PMC3246459,"Replication, gene expression and particle production by a consensus Merkel Cell Polyomavirus (MCPyV) genome.",PLoS One,2023-12-17-22-14-37
22312490,PMC3265261,Diagnosis and treatment of a neck node swelling suspicious for a malignancy: an algorithmic approach.,Int J Surg Oncol,2023-12-17-22-14-37
22343621,PMC3304419,No evidence for the involvement of XMRV or MCV in the pathogenesis of breast cancer.,Br J Cancer,2023-12-17-22-14-37
22363161,PMC3283857,Merkel Cell Carcinoma Concurrent with Bowen's Disease.,Ann Dermatol,2023-12-17-22-14-37
22363598,PMC3281946,Activation of the PI3K/AKT pathway in Merkel cell carcinoma.,PLoS One,2023-12-17-22-14-37
22415238,PMC3314790,Detection of Merkel cell virus and correlation with histologic presence of Merkel cell carcinoma in sentinel lymph nodes.,Br J Cancer,2023-12-17-22-14-37
22606448,PMC3350009,Giant merkel cell carcinoma masquerading as a benign cyst on the buttock of an african american man.,Case Rep Oncol Med,2023-12-17-22-14-37
22649735,PMC3356914,"Histological, immunohistological, and clinical features of merkel cell carcinoma in correlation to merkel cell polyomavirus status.",J Skin Cancer,2023-12-17-22-14-37
22723863,PMC3378559,Human skin microbiota: high diversity of DNA viruses identified on the human skin by high throughput sequencing.,PLoS One,2023-12-17-22-14-37
22768181,PMC3386999,Quantitative analysis of viral load per haploid genome revealed the different biological features of Merkel cell polyomavirus infection in skin tumor.,PLoS One,2023-12-17-22-14-37
22811917,PMC3395140,Radiotherapy for metastatic merkel cell carcinoma: a review of the literature.,J Skin Cancer,2023-12-17-22-14-37
22859987,PMC3409202,Diagnostic biopsy does not commonly induce intratumoral CD8 T cell infiltration in Merkel cell carcinoma.,PLoS One,2023-12-17-22-14-37
22860078,PMC3409148,Entry tropism of BK and Merkel cell polyomaviruses in cell culture.,PLoS One,2023-12-17-22-14-37
